company_id,company_name,total_in,total_out,gap,carbon_in,carbon_out,carbon_gap,closure%
C002,Natural Gas CHP,4996.348,4996.295,0.053,64.824,64.992,-0.168,100.0
C003,Olefins Production Plant,28767.139,28767.083,0.056,657.979,3060.509,-2402.53,100.0
C004,Aromatics Production Plant,4753.897,4754.177,-0.28,3975.927,3998.606,-22.679,99.99
C005,Biogas Plant,16820.0,16820.0,0.0,0.0,474.873,-474.873,100.0
C010,Methanol Production Plant,1186.216,1186.216,0.0,72.162,94.433,-22.271,100.0
C013,DME Plant,93.717,93.765,-0.048,35.126,35.147,-0.021,99.95
C016,Generic Import,0.0,0.0,0.0,0.0,0.0,0.0,
C017,Generic Export,0.0,0.0,0.0,0.0,0.0,0.0,
C018,Generic WMF,0.0,0.0,0.0,0.0,0.0,0.0,
C019,Generic Water WMF,0.0,0.0,0.0,0.0,0.0,0.0,
C020,Generic Emission to Air,0.0,0.0,0.0,0.0,0.0,0.0,
